latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
-26.051,149.625,318.1,4.4,1.9,2019-11-05,0100,T,40,6.0NRT,304.7,47,D
-26.052,149.62,317.3,4.4,1.9,2019-11-05,0100,T,45,6.0NRT,304.8,48,D
-26.055,149.665,318.5,4.4,1.9,2019-11-05,0100,T,54,6.0NRT,303.9,58.5,D
-25.309,131.147,327.7,2.3,1.5,2019-11-05,0100,T,62,6.0NRT,312.4,30.2,D
-25.305,131.141,324.5,2.3,1.5,2019-11-05,0100,T,42,6.0NRT,312.6,19.5,D
-25.448,130.268,327.5,2.6,1.5,2019-11-05,0100,T,65,6.0NRT,311,43.3,D
-27.961,148.112,324.1,3.6,1.8,2019-11-05,0100,T,69,6.0NRT,301.4,74.1,D
-27.952,148.105,322.5,3.6,1.8,2019-11-05,0100,T,65,6.0NRT,302.6,65.6,D
-27.257,128.716,334.5,3,1.6,2019-11-05,0100,T,75,6.0NRT,313.7,87,D
-27.263,128.746,341.4,3,1.6,2019-11-05,0100,T,86,6.0NRT,313.9,134.3,D
-27.27,128.776,336.9,3,1.6,2019-11-05,0100,T,81,6.0NRT,315.3,95.2,D
-27.301,128.922,333.9,2.9,1.6,2019-11-05,0100,T,72,6.0NRT,314.5,75.6,D
-27.718,130.81,354.2,2.1,1.4,2019-11-05,0100,T,96,6.0NRT,315.7,158.5,D
-27.722,130.831,337.7,2.1,1.4,2019-11-05,0100,T,81,6.0NRT,313.6,65,D
-27.722,130.765,333.6,2.1,1.4,2019-11-05,0100,T,76,6.0NRT,313.7,47.9,D
-27.726,130.786,326.3,2.1,1.4,2019-11-05,0100,T,54,6.0NRT,313.6,20.7,D
-27.73,130.807,326.4,2.1,1.4,2019-11-05,0100,T,23,6.0NRT,313.1,18.5,D
-27.717,130.804,346.2,2.1,1.4,2019-11-05,0100,T,90,6.0NRT,315.3,107.3,D
-27.722,130.826,344.4,2.1,1.4,2019-11-05,0100,T,89,6.0NRT,314.2,97.1,D
-27.721,130.759,326.4,2.1,1.4,2019-11-05,0100,T,43,6.0NRT,313.2,18.9,D
-27.725,130.78,328.8,2.1,1.4,2019-11-05,0100,T,65,6.0NRT,313.8,27.7,D
-28.649,127.855,328.2,3.2,1.7,2019-11-05,0100,T,59,6.0NRT,306.1,70.1,D
-28.656,127.887,371.5,3.2,1.7,2019-11-05,0100,T,100,6.0NRT,312.3,574.8,D
-28.663,127.919,327.9,3.1,1.7,2019-11-05,0100,T,46,6.0NRT,310.1,63.4,D
-28.664,127.851,341.4,3.2,1.7,2019-11-05,0100,T,87,6.0NRT,305.7,174.8,D
-28.671,127.883,370,3.2,1.7,2019-11-05,0100,T,100,6.0NRT,305.9,547.2,D
-28.678,127.915,329.3,3.1,1.7,2019-11-05,0100,T,53,6.0NRT,306.6,74.8,D
-28.66,127.845,323.6,3.2,1.7,2019-11-05,0100,T,36,6.0NRT,306.5,44.3,D
-28.668,127.877,377,3.2,1.7,2019-11-05,0100,T,100,6.0NRT,308.2,683.9,D
-28.675,127.909,338.6,3.1,1.7,2019-11-05,0100,T,84,6.0NRT,307.3,145.9,D
-31.193,124.098,326.8,4.8,2,2019-11-05,0100,T,71,6.0NRT,307.7,135.3,D
-31.206,124.086,332.2,4.8,2,2019-11-05,0100,T,76,6.0NRT,310.7,187.1,D
-31.219,124.135,346,4.7,2,2019-11-05,0100,T,92,6.0NRT,309,403.8,D
-31.236,124.129,329.4,4.7,2,2019-11-05,0100,T,61,6.0NRT,308.2,156.1,D
-31.229,124.024,348.1,4.8,2,2019-11-05,0100,T,93,6.0NRT,310,443.3,D
-31.241,124.074,333.9,4.8,2,2019-11-05,0100,T,28,6.0NRT,307.4,197,D
-31.246,124.018,365.5,4.8,2,2019-11-05,0100,T,100,6.0NRT,309.7,876.5,D
-31.271,124.117,329.2,4.7,2,2019-11-05,0100,T,64,6.0NRT,301.7,160.8,D
-31.264,124.012,341.3,4.8,2,2019-11-05,0100,T,88,6.0NRT,305.1,327.6,D
-31.203,124.081,336.1,4.8,2,2019-11-05,0100,T,84,6.0NRT,310.4,235.1,D
-31.216,124.13,342,4.7,2,2019-11-05,0100,T,89,6.0NRT,309.3,333.7,D
-31.234,124.124,331.7,4.7,2,2019-11-05,0100,T,79,6.0NRT,308.8,197.4,D
-31.226,124.02,341.6,4.8,2,2019-11-05,0100,T,88,6.0NRT,310,338.4,D
-31.239,124.069,334.5,4.8,2,2019-11-05,0100,T,82,6.0NRT,308.1,226.3,D
-31.251,124.118,326.9,4.7,2,2019-11-05,0100,T,63,6.0NRT,305.5,138,D
-31.244,124.014,357.7,4.8,2,2019-11-05,0100,T,98,6.0NRT,309.9,667,D
-31.256,124.063,327.8,4.8,2,2019-11-05,0100,T,65,6.0NRT,304,144.6,D
-31.269,124.112,333.1,4.7,2,2019-11-05,0100,T,80,6.0NRT,302.3,213.7,D
-31.261,124.008,347.4,4.8,2,2019-11-05,0100,T,92,6.0NRT,306.2,441.8,D
-31.274,124.057,328.3,4.8,2,2019-11-05,0100,T,74,6.0NRT,301.3,155.9,D
-31.445,123.989,323.1,4.8,2,2019-11-05,0100,T,54,6.0NRT,309.3,56.9,D
-31.473,124.028,336.6,4.7,2,2019-11-05,0100,T,84,6.0NRT,308.7,234.8,D
