latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
-11.649,142.132,349,2.5,1.5,2019-10-01,0025,Terra,MODIS,0,6.0NRT,294.6,193.5,D
-12.077,141.828,317.5,2.6,1.5,2019-10-01,0025,Terra,MODIS,51,6.0NRT,298.4,27.2,D
-12.081,141.851,321.3,2.6,1.5,2019-10-01,0025,Terra,MODIS,74,6.0NRT,299.9,41.1,D
-12.4,141.775,321.3,2.6,1.5,2019-10-01,0025,Terra,MODIS,60,6.0NRT,300.4,32.8,D
-15.932,144.537,321.5,1.4,1.2,2019-10-01,0025,Terra,MODIS,35,6.0NRT,307.8,8.8,D
-15.98,144.633,337,1.4,1.2,2019-10-01,0025,Terra,MODIS,85,6.0NRT,310.6,38.7,D
-15.982,144.645,333.4,1.4,1.2,2019-10-01,0025,Terra,MODIS,77,6.0NRT,308.4,30.4,D
-15.99,144.631,337.2,1.4,1.2,2019-10-01,0025,Terra,MODIS,86,6.0NRT,307.7,40.4,D
-12.405,141.799,319.1,2.5,1.5,2019-10-01,0025,Terra,MODIS,52,6.0NRT,300.1,25.3,D
-15.992,144.644,324,1.4,1.2,2019-10-01,0025,Terra,MODIS,34,6.0NRT,307.5,13.3,D
-16.934,143.176,334,1.6,1.3,2019-10-01,0025,Terra,MODIS,78,6.0NRT,307.2,43.4,D
-16.936,143.191,327.1,1.6,1.3,2019-10-01,0025,Terra,MODIS,27,6.0NRT,306.5,22.4,D
-16.939,143.207,340.2,1.6,1.3,2019-10-01,0025,Terra,MODIS,85,6.0NRT,306.9,58.4,D
-12.453,141.71,321.8,2.6,1.5,2019-10-01,0025,Terra,MODIS,0,6.0NRT,300.4,42.1,D
-12.683,142.054,335.8,2.4,1.5,2019-10-01,0025,Terra,MODIS,81,6.0NRT,302.9,93.4,D
-16.941,143.222,336,1.6,1.3,2019-10-01,0025,Terra,MODIS,78,6.0NRT,306.5,44.8,D
-16.947,143.252,332,1.6,1.3,2019-10-01,0025,Terra,MODIS,72,6.0NRT,308.3,34.3,D
-16.953,143.22,328.2,1.6,1.3,2019-10-01,0025,Terra,MODIS,43,6.0NRT,309,20.9,D
-16.958,143.25,363.1,1.6,1.3,2019-10-01,0025,Terra,MODIS,100,6.0NRT,312.5,160.3,D
-12.687,142.076,321.4,2.4,1.5,2019-10-01,0025,Terra,MODIS,53,6.0NRT,303,27,D
-16.961,143.265,333,1.6,1.3,2019-10-01,0025,Terra,MODIS,77,6.0NRT,310.2,35.2,D
-16.988,143.292,341.1,1.6,1.3,2019-10-01,0025,Terra,MODIS,86,6.0NRT,310.9,58,D
-13.351,141.957,327.7,2.4,1.5,2019-10-01,0025,Terra,MODIS,69,6.0NRT,304,57.4,D
-16.991,143.306,340.9,1.6,1.2,2019-10-01,0025,Terra,MODIS,86,6.0NRT,311.9,56.3,D
-17.002,143.304,359.2,1.6,1.2,2019-10-01,0025,Terra,MODIS,99,6.0NRT,313,133.2,D
-13.355,141.979,327.7,2.4,1.5,2019-10-01,0025,Terra,MODIS,72,6.0NRT,302.8,55.1,D
-13.361,141.933,337.5,2.4,1.5,2019-10-01,0025,Terra,MODIS,87,6.0NRT,302.9,110.6,D
-17.004,143.319,352.3,1.6,1.2,2019-10-01,0025,Terra,MODIS,95,6.0NRT,313.7,99.6,D
-17.018,143.332,330.3,1.6,1.2,2019-10-01,0025,Terra,MODIS,45,6.0NRT,312,22.9,D
-16.985,143.208,325.4,1.6,1.3,2019-10-01,0025,Terra,MODIS,20,6.0NRT,309.7,15.7,D
-17.001,143.299,341.1,1.6,1.2,2019-10-01,0025,Terra,MODIS,86,6.0NRT,311.1,54.7,D
-13.365,141.954,323.1,2.4,1.5,2019-10-01,0025,Terra,MODIS,71,6.0NRT,302.7,43.1,D
-17.004,143.314,356,1.6,1.2,2019-10-01,0025,Terra,MODIS,97,6.0NRT,314.7,116.3,D
-17.017,143.327,334.2,1.6,1.2,2019-10-01,0025,Terra,MODIS,42,6.0NRT,313.2,32.4,D
-13.35,141.973,329.3,2.4,1.5,2019-10-01,0025,Terra,MODIS,79,6.0NRT,304.2,63.8,D
-17.028,143.325,332.3,1.6,1.2,2019-10-01,0025,Terra,MODIS,64,6.0NRT,312.7,28.6,D
-17.042,143.337,373.2,1.6,1.2,2019-10-01,0025,Terra,MODIS,100,6.0NRT,314.8,217.7,D
-13.355,141.927,324.9,2.4,1.5,2019-10-01,0025,Terra,MODIS,74,6.0NRT,302.3,52.4,D
-13.359,141.948,334.4,2.4,1.5,2019-10-01,0025,Terra,MODIS,84,6.0NRT,303.4,93.9,D
-17.056,143.35,351.7,1.6,1.2,2019-10-01,0025,Terra,MODIS,94,6.0NRT,313.7,93.3,D
-17.07,143.363,340.4,1.6,1.2,2019-10-01,0025,Terra,MODIS,73,6.0NRT,313.3,48.8,D
-17.083,143.376,347.7,1.6,1.2,2019-10-01,0025,Terra,MODIS,92,6.0NRT,315,76,D
-17.107,143.38,332.3,1.6,1.2,2019-10-01,0025,Terra,MODIS,33,6.0NRT,314.1,23.5,D
-14.267,143.557,329.3,1.7,1.3,2019-10-01,0025,Terra,MODIS,65,6.0NRT,304.2,34.2,D
-17.132,143.391,340.7,1.6,1.2,2019-10-01,0025,Terra,MODIS,82,6.0NRT,314.3,47.4,D
-17.146,143.403,348.1,1.6,1.2,2019-10-01,0025,Terra,MODIS,92,6.0NRT,315.1,75.2,D
-14.273,143.589,328.1,1.7,1.3,2019-10-01,0025,Terra,MODIS,62,6.0NRT,304.6,32.4,D
-17.215,143.406,336,1.6,1.2,2019-10-01,0025,Terra,MODIS,62,6.0NRT,312.8,33.6,D
-17.215,143.4,339.4,1.6,1.2,2019-10-01,0025,Terra,MODIS,84,6.0NRT,313.7,45.2,D
-12.098,142.316,322,2.4,1.5,2019-10-01,0025,Terra,MODIS,75,6.0NRT,296,42.2,D
-14.281,143.636,323.9,1.7,1.3,2019-10-01,0025,Terra,MODIS,70,6.0NRT,302.3,26.8,D
-14.283,143.652,320.4,1.7,1.3,2019-10-01,0025,Terra,MODIS,57,6.0NRT,303.3,18.4,D
-17.226,143.398,326.8,1.6,1.2,2019-10-01,0025,Terra,MODIS,26,6.0NRT,311.8,14.4,D
-16.824,139.137,312.4,3.3,1.7,2019-10-01,0025,Terra,MODIS,44,6.0NRT,301.9,47,D
-16.834,139.103,311.9,3.3,1.7,2019-10-01,0025,Terra,MODIS,29,6.0NRT,301.1,43.5,D
-17.006,138.957,330.8,3.4,1.7,2019-10-01,0025,Terra,MODIS,75,6.0NRT,307.7,91.6,D
-14.274,143.523,337.7,1.7,1.3,2019-10-01,0025,Terra,MODIS,86,6.0NRT,303.2,62.7,D
-17.016,138.948,327.7,3.4,1.7,2019-10-01,0025,Terra,MODIS,70,6.0NRT,306.5,74.6,D
