latitude,longitude,time
-27.829,152.319,2019-11-07 0330
-27.59,152.95,2019-11-07 0330
-27.834,152.335,2019-11-08 0410
-27.839000000000002,152.309,2019-11-08 0410
-27.820999999999998,152.33100000000002,2019-11-08 0410
-27.809,152.325,2019-11-08 0410
-27.813000000000002,152.303,2019-11-08 0410
-27.838,152.33100000000002,2019-11-08 0410
-27.843000000000004,152.305,2019-11-08 0410
-27.825,152.327,2019-11-08 0410
-27.813000000000002,152.321,2019-11-08 0410
-27.826,152.30700000000002,2019-11-08 0410
-27.836,152.33700000000002,2019-11-08 1155
-27.838,152.308,2019-11-08 1155
-27.820999999999998,152.336,2019-11-08 1155
-27.805,152.33700000000002,2019-11-08 1155
-27.807,152.305,2019-11-08 1155
-27.809,152.332,2019-11-08 1155
-27.811999999999998,152.299,2019-11-08 1155
-27.794,152.33100000000002,2019-11-08 1155
-27.699,152.35,2019-11-08 1155
-27.703000000000003,152.344,2019-11-08 1155
-27.823,152.305,2019-11-08 1155
-27.85,152.315,2019-11-08 1155
-27.7,152.352,2019-11-08 1510
-27.701,152.362,2019-11-08 1510
-27.796999999999997,152.328,2019-11-08 1510
-27.798000000000002,152.338,2019-11-08 1510
-27.803,152.306,2019-11-08 1510
-27.805999999999997,152.326,2019-11-08 1510
-27.807,152.33700000000002,2019-11-08 1510
-27.809,152.347,2019-11-08 1510
-27.816,152.335,2019-11-08 1510
-27.818,152.346,2019-11-08 1510
-27.825,152.334,2019-11-08 1510
-27.828000000000003,152.35399999999998,2019-11-08 1510
-27.834,152.332,2019-11-08 1510
-27.826999999999998,152.344,2019-11-08 1510
-27.804000000000002,152.316,2019-11-08 1510
-27.813000000000002,152.314,2019-11-08 1510
-27.808000000000003,152.344,2019-11-09 0035
-27.823,152.344,2019-11-09 0035
-27.825,152.372,2019-11-09 0035
-27.829,152.366,2019-11-09 0035
-27.829,152.35299999999998,2019-11-09 0315
-27.813000000000002,152.352,2019-11-09 1240
-27.815,152.341,2019-11-09 1240
-27.796999999999997,152.33700000000002,2019-11-09 1240
-27.787,152.335,2019-11-09 1240
-27.789,152.325,2019-11-09 1240
-27.794,152.29399999999998,2019-11-09 1240
-27.712,152.347,2019-11-09 1240
-27.714000000000002,152.336,2019-11-09 1240
-27.803,152.295,2019-11-09 1240
-27.804000000000002,152.35,2019-11-09 1240
-27.711,152.327,2019-11-09 2340
-27.714000000000002,152.344,2019-11-09 2340
-27.794,152.339,2019-11-09 2340
-27.791,152.34,2019-11-10 0400
-27.791,152.281,2019-11-10 0400
-27.801,152.284,2019-11-10 0400
-27.809,152.3,2019-11-10 0400
-27.83,152.305,2019-11-10 0400
-27.82,152.303,2019-11-10 0400
-27.794,152.326,2019-11-10 0400
-27.788,152.29399999999998,2019-11-10 0400
-27.712,152.333,2019-11-10 0400
-27.823,152.349,2019-11-10 0400
-27.781,152.338,2019-11-10 0400
-27.783,152.32399999999998,2019-11-10 0400
