latitude,longitude,time
-31.613000000000003,150.134,2019-10-01 0030
-31.61,150.139,2019-10-01 0310
-31.605,150.135,2019-10-01 0310
-31.616,150.135,2019-10-02 0350
-31.625,150.149,2019-10-02 1315
-31.625999999999998,150.142,2019-10-02 1315
-31.616999999999997,150.14,2019-10-02 1450
-31.62,150.155,2019-10-02 1450
-31.623,150.14700000000002,2019-10-03 0015
-31.548000000000002,151.787,2019-10-06 2350
-30.714000000000002,152.105,2019-10-07 1510
-31.535999999999998,151.8,2019-10-07 1510
-31.545,151.798,2019-10-07 1510
-30.721999999999998,152.102,2019-10-08 0035
-31.546999999999997,151.80200000000002,2019-10-08 1240
-31.538,151.8,2019-10-08 1240
-31.539,151.79,2019-10-08 1240
-30.781999999999996,152.159,2019-10-08 2340
-31.539,151.799,2019-10-08 2340
-31.539,151.797,2019-10-09 0355
-31.829,151.447,2019-10-14 0000
-30.874000000000002,152.22,2019-10-17 1235
-30.875,152.209,2019-10-17 1235
-30.864,152.218,2019-10-17 1235
-30.866,152.207,2019-10-17 1235
-30.866999999999997,152.196,2019-10-17 1235
-30.869,152.186,2019-10-17 1235
-30.87,152.174,2019-10-17 1235
-30.854,152.227,2019-10-17 1235
-30.857,152.20600000000002,2019-10-17 1235
-30.858,152.195,2019-10-17 1235
-30.86,152.184,2019-10-17 1235
-30.861,152.173,2019-10-17 1235
-30.843000000000004,152.16899999999998,2019-10-17 1235
-30.844,152.158,2019-10-17 1235
-30.837,152.161,2019-10-17 1235
-30.838,152.15,2019-10-17 1235
-30.829,152.148,2019-10-17 1235
-30.862,152.203,2019-10-17 1545
-30.643,152.679,2019-10-17 2335
-30.684,151.493,2019-10-17 2335
-30.688000000000002,151.514,2019-10-17 2335
-31.535,151.793,2019-10-18 0350
-30.984,152.422,2019-10-18 0350
-30.975,152.42,2019-10-18 0350
-30.976999999999997,152.409,2019-10-18 0350
-30.874000000000002,152.239,2019-10-18 0350
-30.875,152.22799999999998,2019-10-18 0350
-30.877,152.217,2019-10-18 0350
-30.879,152.20600000000002,2019-10-18 0350
-30.881,152.195,2019-10-18 0350
-30.881999999999998,152.184,2019-10-18 0350
-30.884,152.174,2019-10-18 0350
-30.873,152.18200000000002,2019-10-18 0350
-30.875,152.171,2019-10-18 0350
-30.875999999999998,152.161,2019-10-18 0350
-30.857,152.224,2019-10-18 0350
-30.862,152.19,2019-10-18 0350
-30.864,152.18,2019-10-18 0350
-30.866,152.16899999999998,2019-10-18 0350
-30.853,152.189,2019-10-18 0350
-30.855,152.178,2019-10-18 0350
-30.855999999999998,152.167,2019-10-18 0350
-30.842,152.19799999999998,2019-10-18 0350
-30.844,152.187,2019-10-18 0350
-30.845,152.17600000000002,2019-10-18 0350
-30.846999999999998,152.165,2019-10-18 0350
-30.849,152.155,2019-10-18 0350
-30.838,152.179,2019-10-18 0350
-30.84,152.16899999999998,2019-10-18 0350
-30.840999999999998,152.158,2019-10-18 0350
-30.829,152.17700000000002,2019-10-18 0350
-30.83,152.167,2019-10-18 0350
-30.831999999999997,152.156,2019-10-18 0350
-30.834,152.145,2019-10-18 0350
-30.658,152.67700000000002,2019-10-18 0350
-30.648000000000003,152.67600000000002,2019-10-18 0350
-30.763,151.036,2019-10-18 0350
-30.765,151.026,2019-10-18 0350
-30.683000000000003,151.501,2019-10-18 0350
-30.754,151.035,2019-10-18 0350
-30.756,151.024,2019-10-18 0350
-30.881999999999998,152.204,2019-10-18 1315
-30.816999999999997,152.181,2019-10-18 1450
-30.826999999999998,152.179,2019-10-18 1450
-30.829,152.19299999999998,2019-10-18 1450
-30.855999999999998,152.172,2019-10-18 1450
-30.866,152.16899999999998,2019-10-18 1450
-30.883000000000003,152.207,2019-10-18 1450
-30.883000000000003,152.213,2019-10-18 1450
-30.973000000000003,152.437,2019-10-18 1450
-30.747,151.029,2019-10-18 1450
-30.749000000000002,151.043,2019-10-18 1450
-30.756999999999998,151.02700000000002,2019-10-18 1450
-30.651999999999997,152.68200000000002,2019-10-19 0015
-30.822,152.173,2019-10-19 0015
-30.823,152.186,2019-10-19 0015
-30.825,152.19899999999998,2019-10-19 0015
-30.869,152.162,2019-10-19 0015
-30.875999999999998,152.231,2019-10-19 0015
-30.747,151.026,2019-10-19 0015
-30.748,151.039,2019-10-19 0015
-30.884,152.2,2019-10-19 0015
-30.885,152.215,2019-10-19 0015
-30.886999999999997,152.22899999999998,2019-10-19 0015
-30.756999999999998,151.024,2019-10-19 0015
-30.758000000000003,151.037,2019-10-19 0015
-30.894000000000002,152.19899999999998,2019-10-19 0015
-30.896,152.213,2019-10-19 0015
-30.897,152.22799999999998,2019-10-19 0015
-30.962,152.41899999999998,2019-10-19 0015
-30.975,152.431,2019-10-19 0015
-30.826999999999998,152.14700000000002,2019-10-19 0255
-30.828000000000003,152.143,2019-10-19 0255
-30.913,152.19799999999998,2019-10-19 0435
-31.180999999999997,151.127,2019-10-19 0435
-30.886,152.22899999999998,2019-10-19 0435
-30.897,152.188,2019-10-19 0435
-30.916999999999998,152.195,2019-10-19 0435
-31.178,151.122,2019-10-19 0435
-30.89,152.226,2019-10-19 0435
-30.9,152.185,2019-10-19 0435
-30.83,152.164,2019-10-19 0435
-30.831,152.158,2019-10-19 0435
-30.886999999999997,152.18,2019-10-19 1220
