latitude,longitude,time
-28.121,150.47899999999998,2019-10-01 2335
-28.123,150.47299999999998,2019-10-01 2335
-30.016,152.32,2019-10-02 0350
-29.88,152.136,2019-10-02 0350
-28.118000000000002,150.481,2019-10-02 0350
-28.119,150.471,2019-10-02 0350
-28.171,152.366,2019-10-03 0015
-28.116999999999997,150.471,2019-10-03 0015
-28.119,150.482,2019-10-03 0015
-29.877,152.13299999999998,2019-10-03 0015
-30.011,152.32299999999998,2019-10-03 1220
-29.86,152.232,2019-10-03 1220
-29.796999999999997,152.41899999999998,2019-10-03 1220
-28.173000000000002,152.362,2019-10-03 1220
-30.008000000000003,152.336,2019-10-04 0340
-30.009,152.325,2019-10-04 0340
-30.011,152.314,2019-10-04 0340
-29.985,152.364,2019-10-04 0340
-29.983,152.325,2019-10-04 0340
-29.796999999999997,152.343,2019-10-04 0340
-29.788,152.342,2019-10-04 0340
-29.789,152.33100000000002,2019-10-04 0340
-29.78,152.329,2019-10-04 0340
-29.410999999999998,153.18200000000002,2019-10-04 0340
-28.176,152.365,2019-10-04 0340
-28.177,152.355,2019-10-04 0340
-30.006999999999998,152.329,2019-10-04 1305
-29.983,152.321,2019-10-04 1305
-29.798000000000002,152.39600000000002,2019-10-04 1305
-29.793000000000003,152.411,2019-10-04 1305
-29.796999999999997,152.389,2019-10-04 1305
-29.785,152.387,2019-10-04 1305
-29.793000000000003,152.345,2019-10-04 1305
-29.736,151.901,2019-10-04 1305
-28.976,153.355,2019-10-04 1305
-28.983,153.352,2019-10-04 1305
-28.175,152.35,2019-10-04 1305
-28.177,152.355,2019-10-04 1440
-29.788,152.399,2019-10-04 1440
-29.791999999999998,152.418,2019-10-04 1440
-29.732,151.907,2019-10-04 1440
-28.149,152.388,2019-10-05 0005
-28.17,152.346,2019-10-05 0005
-28.171999999999997,152.357,2019-10-05 0005
-28.179000000000002,152.345,2019-10-05 0005
-28.180999999999997,152.355,2019-10-05 0005
-28.182,152.365,2019-10-05 0005
-29.053,152.817,2019-10-06 0325
-28.182,152.381,2019-10-06 0330
-28.180999999999997,152.387,2019-10-06 0330
-29.997,152.322,2019-10-06 1250
-29.595,152.385,2019-10-06 1250
-29.069000000000003,152.799,2019-10-06 1250
-29.070999999999998,152.785,2019-10-06 1250
-29.055,152.812,2019-10-06 1250
-29.058000000000003,152.797,2019-10-06 1250
-29.063000000000002,152.806,2019-10-06 1250
-29.065,152.792,2019-10-06 1250
-29.052,152.805,2019-10-06 1250
-28.177,152.328,2019-10-06 1250
-28.149,152.366,2019-10-06 1250
-28.151999999999997,152.352,2019-10-06 1250
-28.15,152.35299999999998,2019-10-06 2350
-28.151999999999997,152.365,2019-10-06 2350
-28.154,152.376,2019-10-06 2350
-28.156999999999996,152.339,2019-10-06 2350
-28.159000000000002,152.351,2019-10-06 2350
-28.166999999999998,152.338,2019-10-06 2350
-28.18,152.417,2019-10-06 2350
-28.182,152.428,2019-10-06 2350
-28.175,152.325,2019-10-06 2350
-28.177,152.336,2019-10-06 2350
-28.178,152.347,2019-10-06 2350
-28.184,152.381,2019-10-06 2350
-28.186,152.334,2019-10-06 2350
-28.188000000000002,152.345,2019-10-06 2350
-29.055,152.80700000000002,2019-10-06 2350
-29.061999999999998,152.79399999999998,2019-10-06 2350
-29.070999999999998,152.792,2019-10-06 2350
-29.715,152.325,2019-10-06 2350
-29.717,152.336,2019-10-06 2350
-29.76,152.361,2019-10-06 2350
-29.776999999999997,152.374,2019-10-06 2350
-29.779,152.329,2019-10-06 2350
-29.781,152.34,2019-10-06 2350
-29.783,152.351,2019-10-06 2350
-29.79,152.395,2019-10-06 2350
-29.791999999999998,152.406,2019-10-06 2350
-29.794,152.417,2019-10-06 2350
-29.791999999999998,152.349,2019-10-06 2350
-29.796,152.429,2019-10-07 0410
-29.8,152.408,2019-10-07 0410
-29.796,152.363,2019-10-07 0410
-29.801,152.341,2019-10-07 0410
-29.784000000000002,152.36,2019-10-07 0410
-29.788,152.338,2019-10-07 0410
-29.771,152.357,2019-10-07 0410
-29.776,152.335,2019-10-07 0410
-29.78,152.313,2019-10-07 0410
-29.791,152.376,2019-10-07 0410
-29.795,152.355,2019-10-07 0410
-29.799,152.334,2019-10-07 0410
-29.783,152.352,2019-10-07 0410
-29.787,152.33,2019-10-07 0410
-29.77,152.34799999999998,2019-10-07 0410
-29.775,152.327,2019-10-07 0410
-29.779,152.305,2019-10-07 0410
-29.758000000000003,152.346,2019-10-07 0410
-29.766,152.30200000000002,2019-10-07 0410
-29.634,152.376,2019-10-07 0410
-29.616999999999997,152.394,2019-10-07 0410
-29.621,152.373,2019-10-07 0410
-29.605,152.389,2019-10-07 0410
-29.609,152.36700000000002,2019-10-07 0410
