purpose,status,date,lat,lon
exploration,plugged and abandoned,1980-07-28,-23.720276,148.903696
exploration,plugged and abandoned,1980-08-07,-23.72346,148.903606
exploration,plugged and abandoned,1980-08-21,-23.721121,148.904213
exploration,plugged and abandoned,1980-08-31,-23.721432,148.900829
exploration,plugged and abandoned,1980-09-25,-34.19053975,150.7673933
exploration,plugged and abandoned,1980-10-08,-34.18915375,150.7542857
exploration,plugged and abandoned,1980-10-20,-34.18969867,150.764525
exploration,plugged and abandoned,1980-10-31,-34.18842447,150.7676941
exploration,plugged and abandoned,1981-03-02,-34.081059,150.723216
exploration,plugged and abandoned,1981-06-11,-34.23315,150.691781
exploration,plugged and abandoned,1981-06-29,-34.282573,150.707249
exploration,plugged and abandoned,1981-08-12,-34.26608,150.667283
exploration,plugged and abandoned,1981-08-19,-34.310385,150.53088
exploration,plugged and abandoned,1981-10-08,-34.165898,150.927688
exploration,plugged and abandoned,1981-10-08,-34.24392,150.660815
exploration,plugged and abandoned,1981-12-14,-34.24244,150.636859
exploration,plugged and abandoned,1982-01-27,-33.129899,150.692793
exploration,plugged and abandoned,1982-02-20,-33.143371,151.417942
exploration,plugged and abandoned,1982-03-19,-34.24071,150.675139
exploration,plugged and abandoned,1982-04-21,-33.432909,150.863202
exploration,plugged and abandoned,1982-04-23,-34.248009,150.680516
exploration,plugged and abandoned,1982-05-12,-34.233838,150.67069
exploration,plugged and abandoned,1982-05-25,-34.242022,150.666927
exploration,plugged and abandoned,1982-06-01,-34.238687,150.685979
exploration,plugged and abandoned,1982-06-20,-33.202208,150.97405
exploration,plugged and abandoned,1982-06-23,-34.294355,150.711679
exploration,plugged and abandoned,1982-06-24,-33.379039,151.472017
exploration,plugged and abandoned,1982-09-07,-33.687189,151.060411
exploration,plugged and abandoned,1982-10-23,-34.240636,150.675205
exploration,plugged and abandoned,1982-11-26,-34.010228,150.73856
exploration,plugged and abandoned,1982-11-30,-34.288303,150.674688
exploration,plugged and abandoned,1983-01-27,-34.101488,150.643593
exploration,plugged and abandoned,1983-03-03,-34.116562,150.79173
exploration,plugged and abandoned,1983-04-17,-34.078606,150.863134
exploration,plugged and abandoned,1983-06-10,-34.150585,150.905041
exploration,plugged and abandoned,1987-08-02,-21.832161,148.064471
exploration,suspended/capped/shut-in,1987-08-10,-21.832232,148.061958
exploration,suspended/capped/shut-in,1987-08-17,-21.832363,148.059482
exploration,suspended/capped/shut-in,1987-08-25,-21.832373,148.056909
exploration,plugged and abandoned,1987-12-08,-21.833591,148.065289
exploration,plugged and abandoned,1988-01-06,-21.833569,148.065386
exploration,plugged and abandoned,1988-02-04,-21.828944,148.061875
exploration,suspended/capped/shut-in,1988-02-17,-21.829255,148.057956
exploration,plugged and abandoned,1988-02-28,-21.826635,148.064603
exploration,suspended/capped/shut-in,1988-03-23,-21.826788,148.060722
exploration,plugged and abandoned,1988-03-28,-21.834644,148.058511
exploration,plugged and abandoned,1988-11-29,-24.470135,150.012367
exploration,plugged and abandoned,1989-04-18,-21.829388,148.064808
exploration,plugged and abandoned,1989-05-11,-21.828013,148.067327
exploration,plugged and abandoned,1989-06-15,-21.826408,148.057692
exploration,suspended/capped/shut-in,1989-07-31,-21.833141,148.069741
exploration,suspended/capped/shut-in,1989-08-16,-21.832152,148.064847
exploration,plugged and abandoned,1989-08-29,-22.2058,148.231097
exploration,plugged and abandoned,1989-09-07,-22.206772,148.23443
exploration,plugged and abandoned,1989-09-23,-24.923941,150.018616
exploration,suspended/capped/shut-in,1989-09-28,-32.843628,151.81051
exploration,plugged and abandoned,1989-10-11,-24.810636,150.018116
exploration,plugged and abandoned,1989-11-11,-21.304767,147.94258
exploration,plugged and abandoned,1989-11-19,-22.18455,148.239986
exploration,plugged and abandoned,1989-11-29,-24.807025,150.018227
exploration,plugged and abandoned,1990-01-26,-21.92066,148.376094
exploration,plugged and abandoned,1991-01-18,-32.436026,150.836535
exploration,suspended/capped/shut-in,1991-02-26,-32.439696,150.802667
exploration,suspended/capped/shut-in,1991-08-28,-21.704342,148.195544
exploration,suspended/capped/shut-in,1991-08-28,-33.375792,151.384628
exploration,suspended/capped/shut-in,1991-10-20,-21.556856,148.378558
exploration,plugged and abandoned,1991-10-20,-21.769169,148.410914
exploration,plugged and abandoned,1991-10-21,-34.021026,150.722242
exploration,plugged and abandoned,1991-12-30,-32.535,151.14
exploration,plugged and abandoned,1992-02-21,-33.676951,150.813051
exploration,plugged and abandoned,1992-03-03,-32.855777,150.347773
exploration,producing,1992-03-08,-24.562586,150.027474
exploration,producing,1992-03-10,-24.557864,150.026641
exploration,producing,1992-03-13,-24.558419,150.031919
exploration,plugged and abandoned,1992-03-29,-28.172024,152.883013
exploration,plugged and abandoned,1992-04-27,-28.165639,152.883013
exploration,plugged and abandoned,1992-05-06,-24.67801,150.012749
exploration,plugged and abandoned,1992-05-10,-24.732391,149.989199
exploration,plugged and abandoned,1992-05-20,-24.687288,150.001797
exploration,plugged and abandoned,1992-05-25,-24.652564,149.991005
exploration,plugged and abandoned,1992-06-01,-24.656694,149.979332
exploration,plugged and abandoned,1992-06-03,-24.624596,149.981921
exploration,plugged and abandoned,1992-06-11,-24.586308,150.013599
exploration,plugged and abandoned,1992-06-14,-24.614625,150.001302
exploration,plugged and abandoned,1992-06-20,-21.819072,148.091622
exploration,plugged and abandoned,1992-06-22,-23.332934,148.461156
exploration,plugged and abandoned,1992-06-26,-24.450997,149.967893
exploration,plugged and abandoned,1992-06-30,-23.403546,148.41899
exploration,plugged and abandoned,1992-07-01,-24.367585,149.909144
exploration,plugged and abandoned,1992-07-05,-23.401464,148.312713
exploration,plugged and abandoned,1992-07-15,-21.601978,148.002239
exploration,plugged and abandoned,1992-07-21,-24.600508,149.989185
exploration,plugged and abandoned,1992-07-29,-24.367803,149.909228
exploration,plugged and abandoned,1992-07-30,-24.64748,150.005563
exploration,plugged and abandoned,1992-08-04,-21.665592,148.18266
exploration,plugged and abandoned,1992-08-27,-24.314803,149.881367
exploration,suspended/capped/shut-in,1992-08-29,-21.97006,148.187508
exploration,plugged and abandoned,1992-09-11,-23.787204,148.960933
exploration,plugged and abandoned,1992-09-14,-24.600269,149.989605
exploration,plugged and abandoned,1992-09-26,-21.945361,148.245305
exploration,plugged and abandoned,1992-10-01,-23.49865,149.147734
exploration,plugged and abandoned,1992-10-03,-24.471608,150.032198
exploration,plugged and abandoned,1992-10-04,-23.634428,148.983376
