id,date,Latitude,Longitude,Total_Dead_Mean,Coloniser_Dead_Mean,Aborig_Dead_Mean
1335,1829-06-01,-42.814,147.672,12,2,10
1336,1804-05-03,-42.812,147.314,40,0,40
1337,1815-11-01,-42.366,147.495,20,0,20
1338,1826-12-09,-42.735,147.589,19,0,19
1339,1827-11-17,-42.719,147.592,32,0,32
1340,1827-05-01,-42.62,147.715,14,1,13
1341,1829-10-01,-42.481,146.715,21,4,14
1342,1827-03-01,-42.339,147.188,18,1,17
1343,1830-03-10,-42.316,146.886,10,0,10
1344,1828-07-01,-42.12,147.837,17,0,17
1345,1828-10-23,-42.532,146.943,16,3,13
1346,1830-08-22,-42.244,147.118,6,0,6
1347,1827-06-01,-42.233,147.21,13,3,10
1348,1828-12-06,-42.231,147.792,18,3,15
1349,1826-03-14,-42.19,147.883,8,1,7
1350,1823-11-15,-42.13,148.008,8,2,6
1351,1828-04-02,-42.037,147.504,20,1,19
1352,1827-04-12,-41.95,147.588,42,2,40
1353,1829-01-01,-41.814,147.87,10,0,10
1354,1827-12-01,-41.622,146.519,19,0,19
1355,1827-06-24,-41.686,146.777,76,1,75
1356,1829-09-01,-41.651,147.443,39,0,39
1357,1827-06-26,-41.595,146.71,33,3,30
1358,1827-12-01,-41.593,146.521,9,0,9
1359,1825-12-01,-41.569,147.245,8,0,8
1360,1827-06-13,-41.551,146.481,9,0,9
1361,1826-09-15,-41.55,146.553,11,0,11
1362,1825-12-01,-41.539,146.644,14,0,14
1363,1830-04-18,-41.488,146.686,6,0,6
1364,1829-03-13,-41.456,147.115,9,3,6
1365,1828-03-19,-41.306,146.99,14,0,14
1366,1829-02-18,-41.325,146.964,7,0,7
1367,1828-01-01,-40.709,144.688,17,0,17
1368,1828-02-10,-40.697,144.688,30,0,30
1369,1827-05-01,-42.615,147.723,21,1,20
1370,1827-07-03,-41.66,146.7,103,3,100
1371,1829-01-01,-42.348,147.7,21,0,21
1372,1829-03-01,-42.765,147.455,6,0,6
1373,1829-03-28,-42.459,146.708,9,0,9
1374,1830-03-10,-42.316,146.886,6,0,6
1375,1830-04-01,-42.322,146.836,6,0,6
