latitude,longitude,time
-26.051,149.625,2019-11-05 0100
-26.052,149.62,2019-11-05 0100
-26.055,149.665,2019-11-05 0100
-27.961,148.112,2019-11-05 0100
-27.951999999999998,148.105,2019-11-05 0100
-30.935,152.016,2019-11-05 0340
-30.136999999999997,152.55100000000002,2019-11-05 0340
-29.840999999999998,152.359,2019-11-05 0340
-29.843000000000004,152.34799999999998,2019-11-05 0340
-29.833000000000002,152.362,2019-11-05 0340
-29.835,152.352,2019-11-05 0340
-29.825,152.286,2019-11-05 0340
-29.816,152.285,2019-11-05 0340
-29.804000000000002,152.304,2019-11-05 0340
-29.805,152.29399999999998,2019-11-05 0340
-29.795,152.30200000000002,2019-11-05 0340
-29.551,152.335,2019-11-05 0340
-29.537,152.375,2019-11-05 0340
-29.539,152.35399999999998,2019-11-05 0340
-29.541,152.344,2019-11-05 0340
-29.322,152.39700000000002,2019-11-05 0340
-29.323,152.387,2019-11-05 0340
-29.301,152.415,2019-11-05 0340
-29.288,152.444,2019-11-05 0340
-29.289,152.434,2019-11-05 0340
-29.291999999999998,152.41299999999998,2019-11-05 0340
-29.294,152.403,2019-11-05 0340
-29.295,152.392,2019-11-05 0340
-29.279,152.442,2019-11-05 0340
-29.28,152.43200000000002,2019-11-05 0340
-29.281999999999996,152.422,2019-11-05 0340
-29.249000000000002,151.513,2019-11-05 0340
-29.250999999999998,151.502,2019-11-05 0340
-29.234,151.488,2019-11-05 0340
-29.235,151.477,2019-11-05 0340
-29.236,151.466,2019-11-05 0340
-29.238000000000003,151.455,2019-11-05 0340
-28.612,152.219,2019-11-05 0340
-28.613000000000003,152.209,2019-11-05 0340
-28.311,153.477,2019-11-05 0340
-28.313000000000002,153.467,2019-11-05 0340
-28.997,147.548,2019-11-05 0340
-28.230999999999998,151.442,2019-11-05 0340
-28.233,151.431,2019-11-05 0340
-27.930999999999997,152.356,2019-11-05 0340
-27.956999999999997,148.119,2019-11-05 0340
-27.959,148.10399999999998,2019-11-05 0340
-26.956999999999997,152.613,2019-11-05 0340
-26.419,152.58100000000002,2019-11-05 0340
-26.42,152.571,2019-11-05 0340
-25.499000000000002,150.487,2019-11-05 0340
-25.471999999999998,150.472,2019-11-05 0340
-24.605,151.313,2019-11-05 0340
-24.406,148.80100000000002,2019-11-05 0340
-29.930999999999997,152.30700000000002,2019-11-05 1305
-29.819000000000003,152.274,2019-11-05 1305
-29.804000000000002,152.28799999999998,2019-11-05 1305
-29.787,152.305,2019-11-05 1305
-29.791,152.285,2019-11-05 1305
-29.781999999999996,152.319,2019-11-05 1305
