BORE_SUBTY,STATUS,SPUD_DATE,LATITUDE,LONGITUDE
EXPLORATION WELL,PLUGGED AND ABANDONED,1980-07-28,-23.720276,148.903696
EXPLORATION WELL,PLUGGED AND ABANDONED,1980-08-07,-23.72346,148.903606
EXPLORATION WELL,PLUGGED AND ABANDONED,1980-08-21,-23.721121,148.904213
EXPLORATION WELL,PLUGGED AND ABANDONED,1980-08-31,-23.721432,148.900829
EXPLORATION WELL,PLUGGED AND ABANDONED,1987-08-02,-21.832161,148.064471
EXPLORATION WELL,SUSPENDED/CAPPED/SHUT-IN,1987-08-10,-21.832232,148.061958
EXPLORATION WELL,SUSPENDED/CAPPED/SHUT-IN,1987-08-17,-21.832363,148.059482
EXPLORATION WELL,SUSPENDED/CAPPED/SHUT-IN,1987-08-25,-21.832373,148.056909
EXPLORATION WELL,PLUGGED AND ABANDONED,1987-12-08,-21.833591,148.065289
EXPLORATION WELL,PLUGGED AND ABANDONED,1988-01-06,-21.833569,148.065386
EXPLORATION WELL,PLUGGED AND ABANDONED,1988-02-04,-21.828944,148.061875
EXPLORATION WELL,SUSPENDED/CAPPED/SHUT-IN,1988-02-17,-21.829255,148.057956
EXPLORATION WELL,PLUGGED AND ABANDONED,1988-02-28,-21.826635,148.064603
EXPLORATION WELL,SUSPENDED/CAPPED/SHUT-IN,1988-03-23,-21.826788,148.060722
EXPLORATION WELL,PLUGGED AND ABANDONED,1988-03-28,-21.834644,148.058511
EXPLORATION WELL,PLUGGED AND ABANDONED,1988-11-29,-24.470135,150.012367
EXPLORATION WELL,PLUGGED AND ABANDONED,1989-04-18,-21.829388,148.064808
EXPLORATION WELL,PLUGGED AND ABANDONED,1989-05-11,-21.828013,148.067327
EXPLORATION WELL,PLUGGED AND ABANDONED,1989-06-15,-21.826408,148.057692
EXPLORATION WELL,SUSPENDED/CAPPED/SHUT-IN,1989-07-31,-21.833141,148.069741
EXPLORATION WELL,SUSPENDED/CAPPED/SHUT-IN,1989-08-16,-21.832152,148.064847
EXPLORATION WELL,PLUGGED AND ABANDONED,1989-08-29,-22.2058,148.231097
EXPLORATION WELL,PLUGGED AND ABANDONED,1989-09-07,-22.206772,148.23443
EXPLORATION WELL,PLUGGED AND ABANDONED,1989-09-23,-24.923941,150.018616
EXPLORATION WELL,PLUGGED AND ABANDONED,1989-10-11,-24.810636,150.018116
EXPLORATION WELL,PLUGGED AND ABANDONED,1989-11-11,-21.304767,147.94258
EXPLORATION WELL,PLUGGED AND ABANDONED,1989-11-19,-22.18455,148.239986
EXPLORATION WELL,PLUGGED AND ABANDONED,1989-11-29,-24.807025,150.018227
EXPLORATION WELL,PLUGGED AND ABANDONED,1990-01-26,-21.92066,148.376094
EXPLORATION WELL,SUSPENDED/CAPPED/SHUT-IN,1991-08-28,-21.704342,148.195544
EXPLORATION WELL,SUSPENDED/CAPPED/SHUT-IN,1991-10-20,-21.556856,148.378558
EXPLORATION WELL,PLUGGED AND ABANDONED,1991-10-20,-21.769169,148.410914
EXPLORATION WELL,PRODUCING HYDROCARBONS,1992-03-08,-24.562586,150.027474
EXPLORATION WELL,PRODUCING HYDROCARBONS,1992-03-10,-24.557864,150.026641
EXPLORATION WELL,PRODUCING HYDROCARBONS,1992-03-13,-24.558419,150.031919
EXPLORATION WELL,PLUGGED AND ABANDONED,1992-03-29,-28.172024,152.883013
EXPLORATION WELL,PLUGGED AND ABANDONED,1992-04-27,-28.165639,152.883013
EXPLORATION WELL,PLUGGED AND ABANDONED,1992-05-06,-24.67801,150.012749
EXPLORATION WELL,PLUGGED AND ABANDONED,1992-05-10,-24.732391,149.989199
EXPLORATION WELL,PLUGGED AND ABANDONED,1992-05-20,-24.687288,150.001797
EXPLORATION WELL,PLUGGED AND ABANDONED,1992-05-25,-24.652564,149.991005
EXPLORATION WELL,PLUGGED AND ABANDONED,1992-06-01,-24.656694,149.979332
EXPLORATION WELL,PLUGGED AND ABANDONED,1992-06-03,-24.624596,149.981921
EXPLORATION WELL,PLUGGED AND ABANDONED,1992-06-11,-24.586308,150.013599
EXPLORATION WELL,PLUGGED AND ABANDONED,1992-06-14,-24.614625,150.001302
EXPLORATION WELL,PLUGGED AND ABANDONED,1992-06-20,-21.819072,148.091622
EXPLORATION WELL,PLUGGED AND ABANDONED,1992-06-22,-23.332934,148.461156
EXPLORATION WELL,PLUGGED AND ABANDONED,1992-06-26,-24.450997,149.967893
EXPLORATION WELL,PLUGGED AND ABANDONED,1992-06-30,-23.403546,148.41899
EXPLORATION WELL,PLUGGED AND ABANDONED,1992-07-01,-24.367585,149.909144
EXPLORATION WELL,PLUGGED AND ABANDONED,1992-07-05,-23.401464,148.312713
EXPLORATION WELL,PLUGGED AND ABANDONED,1992-07-15,-21.601978,148.002239
EXPLORATION WELL,PLUGGED AND ABANDONED,1992-07-21,-24.600508,149.989185
EXPLORATION WELL,PLUGGED AND ABANDONED,1992-07-29,-24.367803,149.909228
EXPLORATION WELL,PLUGGED AND ABANDONED,1992-07-30,-24.64748,150.005563
EXPLORATION WELL,PLUGGED AND ABANDONED,1992-08-04,-21.665592,148.18266
EXPLORATION WELL,PLUGGED AND ABANDONED,1992-08-27,-24.314803,149.881367
EXPLORATION WELL,SUSPENDED/CAPPED/SHUT-IN,1992-08-29,-21.97006,148.187508
EXPLORATION WELL,PLUGGED AND ABANDONED,1992-09-11,-23.787204,148.960933
EXPLORATION WELL,PLUGGED AND ABANDONED,1992-09-14,-24.600269,149.989605
EXPLORATION WELL,PLUGGED AND ABANDONED,1992-09-26,-21.945361,148.245305
EXPLORATION WELL,PLUGGED AND ABANDONED,1992-10-01,-23.49865,149.147734
EXPLORATION WELL,PLUGGED AND ABANDONED,1992-10-03,-24.471608,150.032198
EXPLORATION WELL,PLUGGED AND ABANDONED,1992-10-04,-23.634428,148.983376
EXPLORATION WELL,SUSPENDED/CAPPED/SHUT-IN,1992-10-18,-21.88968,148.189572
EXPLORATION WELL,PLUGGED AND ABANDONED,1992-11-02,-24.810914,150.018032
EXPLORATION WELL,PLUGGED AND ABANDONED,1992-11-09,-24.809803,150.018588
EXPLORATION WELL,PLUGGED AND ABANDONED,1992-11-13,-24.810358,150.018866
EXPLORATION WELL,SUSPENDED/CAPPED/SHUT-IN,1992-11-17,-21.351453,148.064722
EXPLORATION WELL,PLUGGED AND ABANDONED,1992-11-19,-23.874565,148.929767
EXPLORATION WELL,PLUGGED AND ABANDONED,1993-04-08,-21.619622,148.38683
EXPLORATION WELL,PLUGGED AND ABANDONED,1993-05-01,-21.651667,148.305783
EXPLORATION WELL,PLUGGED AND ABANDONED,1993-05-13,-21.302467,147.950731
EXPLORATION WELL,PLUGGED AND ABANDONED,1993-05-27,-21.516666,148.140714
EXPLORATION WELL,SUSPENDED/CAPPED/SHUT-IN,1993-06-15,-21.831041,148.059453
EXPLORATION WELL,SUSPENDED/CAPPED/SHUT-IN,1993-07-11,-21.837039,148.025391
EXPLORATION WELL,PLUGGED AND ABANDONED,1993-07-29,-23.067338,144.766414
EXPLORATION WELL,PLUGGED AND ABANDONED,1993-07-30,-21.961042,148.252028
EXPLORATION WELL,PLUGGED AND ABANDONED,1993-08-13,-22.089383,148.146047
EXPLORATION WELL,PLUGGED AND ABANDONED,1993-08-27,-22.214758,148.226522
EXPLORATION WELL,WATER BORE,1993-08-29,-22.907178,144.571994
EXPLORATION WELL,PLUGGED AND ABANDONED,1993-09-06,-24.804575,150.018324
EXPLORATION WELL,PLUGGED AND ABANDONED,1993-09-11,-22.432555,148.371424
EXPLORATION WELL,PLUGGED AND ABANDONED,1993-09-23,-22.97776,145.529888
EXPLORATION WELL,PLUGGED AND ABANDONED,1993-09-26,-24.8037,150.017751
EXPLORATION WELL,PLUGGED AND ABANDONED,1993-09-27,-22.257783,148.299483
EXPLORATION WELL,PLUGGED AND ABANDONED,1993-10-02,-24.804164,150.019385
EXPLORATION WELL,PLUGGED AND ABANDONED,1993-10-08,-24.804839,150.017855
EXPLORATION WELL,PLUGGED AND ABANDONED,1993-10-13,-24.803414,150.017849
EXPLORATION WELL,PLUGGED AND ABANDONED,1993-10-19,-21.997086,148.122185
EXPLORATION WELL,PLUGGED AND ABANDONED,1993-10-19,-21.53427,145.215617
EXPLORATION WELL,PLUGGED AND ABANDONED,1993-10-21,-24.804258,150.018505
EXPLORATION WELL,PLUGGED AND ABANDONED,1993-10-28,-21.533845,145.215615
EXPLORATION WELL,PLUGGED AND ABANDONED,1993-11-05,-23.403435,148.419156
EXPLORATION WELL,SUSPENDED/CAPPED/SHUT-IN,1993-11-07,-25.399966,148.815444
EXPLORATION WELL,PLUGGED AND ABANDONED,1993-11-23,-24.804253,150.018024
EXPLORATION WELL,PLUGGED AND ABANDONED,1993-12-03,-23.076847,144.723558
EXPLORATION WELL,PLUGGED AND ABANDONED,1994-05-27,-21.961042,148.251427
EXPLORATION WELL,PLUGGED AND ABANDONED,1994-06-13,-21.298913,147.964373
EXPLORATION WELL,SUSPENDED/CAPPED/SHUT-IN,1994-06-30,-21.302357,147.951262
EXPLORATION WELL,SUSPENDED/CAPPED/SHUT-IN,1994-07-17,-21.888634,148.025014
EXPLORATION WELL,SUSPENDED/CAPPED/SHUT-IN,1994-08-01,-25.614019,148.959464
EXPLORATION WELL,PLUGGED AND ABANDONED,1994-08-01,-26.002258,150.081813
EXPLORATION WELL,SUSPENDED/CAPPED/SHUT-IN,1994-08-14,-22.086161,148.160069
EXPLORATION WELL,SUSPENDED/CAPPED/SHUT-IN,1994-09-08,-25.622633,148.956386
EXPLORATION WELL,SUSPENDED/CAPPED/SHUT-IN,1994-09-23,-22.002106,148.109959
EXPLORATION WELL,PRODUCING HYDROCARBONS,1994-10-20,-24.803103,150.010406
EXPLORATION WELL,PLUGGED AND ABANDONED,1994-10-26,-24.805081,150.011922
EXPLORATION WELL,PRODUCING HYDROCARBONS,1994-11-01,-24.802253,150.014531
EXPLORATION WELL,SUSPENDED/CAPPED/SHUT-IN,1994-11-02,-24.650733,149.070735
EXPLORATION WELL,PLUGGED AND ABANDONED,1994-11-12,-24.8066,150.009286
EXPLORATION WELL,PLUGGED AND ABANDONED,1994-11-15,-24.516747,149.937478
EXPLORATION WELL,PLUGGED AND ABANDONED,1994-11-21,-24.679246,150.018309
EXPLORATION WELL,PRODUCING HYDROCARBONS,1994-11-24,-24.804547,150.011903
EXPLORATION WELL,PLUGGED AND ABANDONED,1994-12-05,-24.506192,149.946922
EXPLORATION WELL,SUSPENDED/CAPPED/SHUT-IN,1994-12-09,-25.605831,148.957356
EXPLORATION WELL,PRODUCING HYDROCARBONS,1994-12-10,-24.806136,150.013517
EXPLORATION WELL,SUSPENDED/CAPPED/SHUT-IN,1994-12-21,-25.613772,148.945797
EXPLORATION WELL,SUSPENDED/CAPPED/SHUT-IN,1995-01-07,-25.596219,148.95885
EXPLORATION WELL,SUSPENDED/CAPPED/SHUT-IN,1995-01-19,-25.604478,148.947891
EXPLORATION WELL,SUSPENDED/CAPPED/SHUT-IN,1995-01-29,-25.604481,148.933694
EXPLORATION WELL,SUSPENDED/CAPPED/SHUT-IN,1995-02-11,-25.692091,148.874285
EXPLORATION WELL,PLUGGED AND ABANDONED,1995-02-26,-27.141994,150.704872
EXPLORATION WELL,SUSPENDED/CAPPED/SHUT-IN,1995-03-08,-25.595277,148.948436
EXPLORATION WELL,WATER BORE,1995-03-12,-26.000372,150.079919
EXPLORATION WELL,SUSPENDED/CAPPED/SHUT-IN,1995-03-16,-25.595236,148.967616
EXPLORATION WELL,SUSPENDED/CAPPED/SHUT-IN,1995-04-02,-25.603378,148.967752
EXPLORATION WELL,SUSPENDED/CAPPED/SHUT-IN,1995-04-06,-24.799803,149.974422
EXPLORATION WELL,PLUGGED AND ABANDONED,1995-04-18,-24.631746,149.944144
EXPLORATION WELL,SUSPENDED/CAPPED/SHUT-IN,1995-04-21,-25.597836,148.9396
EXPLORATION WELL,PLUGGED AND ABANDONED,1995-05-09,-24.700358,149.959422
EXPLORATION WELL,PLUGGED AND ABANDONED,1995-05-15,-25.583027,148.959683
EXPLORATION WELL,PLUGGED AND ABANDONED,1995-06-12,-25.571847,148.944594
EXPLORATION WELL,SUSPENDED/CAPPED/SHUT-IN,1995-06-17,-24.647352,150.007019
EXPLORATION WELL,SUSPENDED/CAPPED/SHUT-IN,1995-06-26,-24.651383,150.008347
EXPLORATION WELL,SUSPENDED/CAPPED/SHUT-IN,1995-07-02,-23.066222,144.767108
EXPLORATION WELL,SUSPENDED/CAPPED/SHUT-IN,1995-07-04,-24.650978,150.011114
EXPLORATION WELL,PLUGGED AND ABANDONED,1995-07-05,-24.673408,148.240491
EXPLORATION WELL,PLUGGED AND ABANDONED,1995-07-10,-25.575569,148.911314
EXPLORATION WELL,SUSPENDED/CAPPED/SHUT-IN,1995-07-12,-22.907989,144.571977
EXPLORATION WELL,SUSPENDED/CAPPED/SHUT-IN,1995-07-16,-24.805203,149.970863
EXPLORATION WELL,PLUGGED AND ABANDONED,1995-07-21,-24.583672,148.224369
EXPLORATION WELL,SUSPENDED/CAPPED/SHUT-IN,1995-08-02,-24.807406,149.973919
EXPLORATION WELL,PLUGGED AND ABANDONED,1995-08-06,-24.517969,148.243083
EXPLORATION WELL,SUSPENDED/CAPPED/SHUT-IN,1995-08-11,-26.015233,150.095791
EXPLORATION WELL,PLUGGED AND ABANDONED,1995-08-22,-24.630485,149.946997
EXPLORATION WELL,SUSPENDED/CAPPED/SHUT-IN,1995-08-24,-24.7999,149.974658
EXPLORATION WELL,SUSPENDED/CAPPED/SHUT-IN,1995-08-30,-24.627577,149.95185
EXPLORATION WELL,SUSPENDED/CAPPED/SHUT-IN,1995-09-04,-26.033361,150.095486
EXPLORATION WELL,SUSPENDED/CAPPED/SHUT-IN,1995-09-06,-24.631149,149.950972
EXPLORATION WELL,SUSPENDED/CAPPED/SHUT-IN,1995-09-13,-24.807311,149.973863
EXPLORATION WELL,SUSPENDED/CAPPED/SHUT-IN,1995-09-23,-26.032227,150.064944
EXPLORATION WELL,SUSPENDED/CAPPED/SHUT-IN,1995-10-10,-25.167319,150.089736
EXPLORATION WELL,PLUGGED AND ABANDONED,1995-10-12,-26.017252,150.077138
EXPLORATION WELL,PLUGGED AND ABANDONED,1995-10-20,-25.562236,150.113222
EXPLORATION WELL,PLUGGED AND ABANDONED,1995-11-10,-26.054553,150.098297
EXPLORATION WELL,PLUGGED AND ABANDONED,1995-11-22,-26.073063,150.103311
EXPLORATION WELL,PLUGGED AND ABANDONED,1995-11-24,-26.026333,150.102306
EXPLORATION WELL,PLUGGED AND ABANDONED,1996-01-21,-28.168082,152.858285
EXPLORATION WELL,PLUGGED AND ABANDONED,1996-02-15,-27.831716,153.139235
EXPLORATION WELL,PLUGGED AND ABANDONED,1996-02-28,-27.687987,152.889882
EXPLORATION WELL,PLUGGED AND ABANDONED,1996-05-30,-25.971147,150.083794
EXPLORATION WELL,SUSPENDED/CAPPED/SHUT-IN,1996-06-02,-24.656292,150.003533
EXPLORATION WELL,SUSPENDED/CAPPED/SHUT-IN,1996-06-05,-24.595852,149.998291
EXPLORATION WELL,SUSPENDED/CAPPED/SHUT-IN,1996-06-09,-24.641902,149.995983
EXPLORATION WELL,SUSPENDED/CAPPED/SHUT-IN,1996-06-11,-25.971147,150.083794
EXPLORATION WELL,PLUGGED AND ABANDONED,1996-06-12,-24.700689,149.963194
EXPLORATION WELL,SUSPENDED/CAPPED/SHUT-IN,1996-06-15,-24.645541,149.999289
EXPLORATION WELL,SUSPENDED/CAPPED/SHUT-IN,1996-06-20,-24.728491,149.99778
EXPLORATION WELL,SUSPENDED/CAPPED/SHUT-IN,1996-06-21,-24.640252,150.001278
EXPLORATION WELL,SUSPENDED/CAPPED/SHUT-IN,1996-06-26,-24.804414,150.000189
EXPLORATION WELL,SUSPENDED/CAPPED/SHUT-IN,1996-06-27,-24.638241,149.991241
APPRAISAL WELL,SUSPENDED/CAPPED/SHUT-IN,1996-07-04,-24.649233,149.995444
APPRAISAL WELL,PLUGGED AND ABANDONED,1996-07-05,-24.8006,149.996105
APPRAISAL WELL,PLUGGED AND ABANDONED,1996-07-09,-24.648966,150.00325
APPRAISAL WELL,SUSPENDED/CAPPED/SHUT-IN,1996-07-13,-24.797022,149.999986
APPRAISAL WELL,SUSPENDED/CAPPED/SHUT-IN,1996-07-14,-24.652047,149.999489
APPRAISAL WELL,SUSPENDED/CAPPED/SHUT-IN,1996-07-19,-24.645552,149.991402
APPRAISAL WELL,SUSPENDED/CAPPED/SHUT-IN,1996-07-21,-24.79323,149.996583
APPRAISAL WELL,SUSPENDED/CAPPED/SHUT-IN,1996-07-24,-24.656158,150.011456
APPRAISAL WELL,PLUGGED AND ABANDONED,1996-07-27,-24.796969,150.007878
APPRAISAL WELL,SUSPENDED/CAPPED/SHUT-IN,1996-07-31,-24.643827,150.004653
APPRAISAL WELL,PLUGGED AND ABANDONED,1996-08-02,-24.800239,150.004289
APPRAISAL WELL,SUSPENDED/CAPPED/SHUT-IN,1996-08-05,-24.659839,150.007464
APPRAISAL WELL,SUSPENDED/CAPPED/SHUT-IN,1996-08-08,-24.796683,150.014864
EXPLORATION WELL,SUSPENDED/CAPPED/SHUT-IN,1996-08-09,-24.68118,150.013536
APPRAISAL WELL,SUSPENDED/CAPPED/SHUT-IN,1996-08-13,-24.793283,150.011758
EXPLORATION WELL,SUSPENDED/CAPPED/SHUT-IN,1996-08-13,-24.731972,150.000331
APPRAISAL WELL,SUSPENDED/CAPPED/SHUT-IN,1996-08-18,-24.792747,150.003958
EXPLORATION WELL,SUSPENDED/CAPPED/SHUT-IN,1996-08-18,-24.734219,149.997619
APPRAISAL WELL,SUSPENDED/CAPPED/SHUT-IN,1996-08-24,-24.789602,149.99993
EXPLORATION WELL,PLUGGED AND ABANDONED,1996-08-24,-24.700719,149.956636
APPRAISAL WELL,PLUGGED AND ABANDONED,1996-08-30,-24.698158,149.959614
EXPLORATION WELL,SUSPENDED/CAPPED/SHUT-IN,1996-08-31,-24.789241,150.007636
APPRAISAL WELL,PLUGGED AND ABANDONED,1996-09-06,-24.619344,149.96693
EXPLORATION WELL,SUSPENDED/CAPPED/SHUT-IN,1996-09-11,-24.789544,150.015692
