region,2017-18,2018-19,change,%_change,lat,lon
Papua New Guinea,546.3,572.2,25.9,4.740984807,-6,147
Solomon Islands,142.2,187,44.8,31.50492264,-8,159
Vanuatu,69.8,62.3,-7.5,-10.74498567,-16,167
Fiji,65.6,58.1,-7.5,-11.43292683,-18,175
Samoa,37.2,35.5,-1.7,-4.569892473,-13.5833,-172.3333
Nauru,25.4,25.9,0.5,1.968503937,-0.5333,166.9167
Kiribati,30.9,29.4,-1.5,-4.854368932,1.4167,173
Tonga,30.4,27.9,-2.5,-8.223684211,-20,-175
Tuvalu,8.7,9.7,1,11.49425287,-8,178
Cook Islands,3.2,3.4,0.2,6.25,-21.2333,-159.7667
Niue & Tokelau,2.9,2.9,0,0,-19.0333,-169.8667
North Pacific,8,8,0,0,-5.965754,176.835938
Indonesia,356.9,316.2,-40.7,-11.40375455,-5,120
Timor-Leste,96.1,91.8,-4.3,-4.474505723,-8.55,125.5167
Phillipines,85,85.4,0.4,0.470588235,13,122
Vietnam,84.2,84.2,0,0,16,106
Cambodia,87.4,83.6,-3.8,-4.347826087,13,105
Myanmar,66.4,76.9,10.5,15.81325301,22,98
Laos,42.3,41.3,-1,-2.364066194,18,105
Mongolia,10.9,9.6,-1.3,-11.9266055,46,105
Afghanistan,80.9,80.2,-0.7,-0.86526576,33,65
Bangladesh,57.9,59.8,1.9,3.281519862,24,90
Pakistan,47.1,49.2,2.1,4.458598726,30,70
Sri Lanka,27.7,28.6,0.9,3.249097473,7,81
Nepal,31.9,30.6,-1.3,-4.07523511,28,84
Bhutan,9.2,7,-2.2,-23.91304348,27.5,90.5
Maldives,3.8,2.6,-1.2,-31.57894737,3.25,73
