region,spending,year,lat,lon
Papua New Guinea,546.3,2017-18,-6,147
Solomon Islands,142.2,2017-18,-8,159
Vanuatu,69.8,2017-18,-16,167
Fiji,65.6,2017-18,-18,175
Samoa,37.2,2017-18,-13.5833,-172.3333
Nauru,25.4,2017-18,-0.5333,166.9167
Kiribati,30.9,2017-18,1.4167,173
Tonga,30.4,2017-18,-20,-175
Tuvalu,8.7,2017-18,-8,178
Cook Islands,3.2,2017-18,-21.2333,-159.7667
Niue & Tokelau,2.9,2017-18,-19.0333,-169.8667
North Pacific,8,2017-18,-5.965754,176.835938
Indonesia,356.9,2017-18,-5,120
Timor-Leste,96.1,2017-18,-8.55,125.5167
Phillipines,85,2017-18,13,122
Vietnam,84.2,2017-18,16,106
Cambodia,87.4,2017-18,13,105
Myanmar,66.4,2017-18,22,98
Laos,42.3,2017-18,18,105
Mongolia,10.9,2017-18,46,105
Afghanistan,80.9,2017-18,33,65
Bangladesh,57.9,2017-18,24,90
Pakistan,47.1,2017-18,30,70
Sri Lanka,27.7,2017-18,7,81
Nepal,31.9,2017-18,28,84
Bhutan,9.2,2017-18,27.5,90.5
Maldives,3.8,2017-18,3.25,73
Papua New Guinea,572.2,2018-19,-6,147
Solomon Islands,187,2018-19,-8,159
Vanuatu,62.3,2018-19,-16,167
Fiji,58.1,2018-19,-18,175
Samoa,35.5,2018-19,-13.5833,-172.3333
Nauru,25.9,2018-19,-0.5333,166.9167
Kiribati,29.4,2018-19,1.4167,173
Tonga,27.9,2018-19,-20,-175
Tuvalu,9.7,2018-19,-8,178
Cook Islands,3.4,2018-19,-21.2333,-159.7667
Niue & Tokelau,2.9,2018-19,-19.0333,-169.8667
North Pacific,8,2018-19,-5.965754,176.835938
Indonesia,316.2,2018-19,-5,120
Timor-Leste,91.8,2018-19,-8.55,125.5167
Phillipines,85.4,2018-19,13,122
Vietnam,84.2,2018-19,16,106
Cambodia,83.6,2018-19,13,105
Myanmar,76.9,2018-19,22,98
Laos,41.3,2018-19,18,105
Mongolia,9.6,2018-19,46,105
Afghanistan,80.2,2018-19,33,65
Bangladesh,59.8,2018-19,24,90
Pakistan,49.2,2018-19,30,70
Sri Lanka,28.6,2018-19,7,81
Nepal,30.6,2018-19,28,84
Bhutan,7,2018-19,27.5,90.5
Maldives,2.6,2018-19,3.25,73
